Metric,Value
Projection Period,2025-12-15 to 2026-12-15
Projected Weeks,52
Projected Trades,4481
Monte Carlo Simulations,10000
,
PROJECTION METHODOLOGY,
Method,Bootstrap Weekly Returns Monte Carlo (Empirical Distribution)
Data Source,Full Performance History - Weekly Returns
Total Weeks Sampled,17
Average Weekly Return,7.83%
Std Dev Weekly Return,6.76%
Weekly Return Trend,-0.7875% per week
Average Trades Per Week,86.18
Trade Frequency Trend,-3.59 trades/week change
,
EXPECTED OUTCOME (50th Percentile),
Expected Portfolio Value,9.6236
Expected PNL (%),186.55%
Expected Return Multiplier,2.87x
,
CONFIDENCE INTERVALS,
Percentile,Portfolio Value,PNL (%),Return Multiplier
99th,1.8011,-46.37%,0.54x
95th,2.9664,-11.67%,0.88x
75th,6.0411,79.88%,1.80x
50th,9.6236,186.55%,2.87x
25th,15.3699,357.65%,4.58x
5th,28.9572,762.22%,8.62x
1th,44.3886,1221.70%,13.22x
,
PROBABILITY ANALYSIS,
Probability of Positive Return,93.08%
Probability of 2x or More,69.99%
Probability of 10x or More,3.01%
Probability of Loss,6.92%
,
STRESS TEST (Worst Case Scenarios),
Starting Portfolio Value,3.3585
,
Worst 5% Case,
  Portfolio Value,2.9664
  Return Multiplier,0.88x
  PNL (%),-11.67%
,
Worst 1% Case,
  Portfolio Value,1.8011
  Return Multiplier,0.54x
  PNL (%),-46.37%
Starting Portfolio Value,3.3585
